S/N,Team,Level,Stream,Class Register No.,NRIC,Student Name
1,Basketball,S1,EXPRESS,1,T1234567A,CHAN AI XUAN MI
2,Basketball,S1,EXPRESS,2,T1234567B,GWEE
3,Basketball,S1,EXPRESS,3,T1234567C,DING P
4,Basketball,S1,EXPRESS,4,T1234567D,CEL
5,Basketball,S1,EXPRESS,5,T1234567E,GOH
6,Basketball,S1,EXPRESS,6,T1234567F,SHANG
7,Basketball,S1,EXPRESS,7,T1234567G,NATALIE
8,Basketball,S1,EXPRESS,8,T1234567H,NUR
9,Basketball,S1,EXPRESS,9,T1234567I,"PHAM XIN, CHEZANNE"
10,Basketball,S1,EXPRESS,10,T1234567J,RED DD
